description,image_url
Maroc,http://flags.fmcdn.net/data/flags/w580/ma.png
Corée du Sud,http://flags.fmcdn.net/data/flags/w580/kr.png
Allemagne,http://flags.fmcdn.net/data/flags/w580/de.png
Brésil,http://flags.fmcdn.net/data/flags/w580/br.png
Mexique,http://flags.fmcdn.net/data/flags/w580/mx.png
Turquie,http://flags.fmcdn.net/data/flags/w580/tr.png
France,http://flags.fmcdn.net/data/flags/w580/fr.png
Suède,http://flags.fmcdn.net/data/flags/w580/se.png
Niger,http://flags.fmcdn.net/data/flags/w580/ne.png
République du Congo,http://flags.fmcdn.net/data/flags/w580/cg.png
Afrique du Sud,http://flags.fmcdn.net/data/flags/w580/za.png
Australie,http://flags.fmcdn.net/data/flags/w580/au.png
Canada,http://flags.fmcdn.net/data/flags/w580/ca.png
Russie,http://flags.fmcdn.net/data/flags/w580/ru.png
Qatar,http://flags.fmcdn.net/data/flags/w580/qa.png
Égypte,http://flags.fmcdn.net/data/flags/w580/eg.png
Liban,http://flags.fmcdn.net/data/flags/w580/lb.png
République tchèque,http://flags.fmcdn.net/data/flags/w580/cz.png
Macédoine,http://flags.fmcdn.net/data/flags/w580/mk.png
Luxembourg,http://flags.fmcdn.net/data/flags/w580/lu.png
